season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,25,Hamburger SV ,1. FC Nürnberg ,2,1,0,0,26,9,"114,38 km","115,58 km",353,401,265,313,88,88,75%,78%,47%,53%,57%,43%,12,18,18,12,1,2,10,5
13-14,25,Eintracht Frankfurt ,SC Freiburg ,1,4,0,1,26,7,"112,6 km","122,59 km",484,277,381,190,103,87,79%,69%,64%,36%,57%,43%,19,18,17,18,2,2,12,1
13-14,26,SC Freiburg ,Werder Bremen ,3,1,1,0,14,7,"121,87 km","119,86 km",382,377,276,276,106,101,72%,73%,50%,50%,50%,50%,19,15,14,17,2,4,5,4
13-14,26,FC Schalke 04 ,Eintracht Braunschweig ,3,1,1,0,33,11,"118,67 km","120,16 km",580,280,489,175,91,105,84%,62%,67%,33%,55%,45%,14,20,19,14,0,1,14,4
13-14,26,VfB Stuttgart ,Hamburger SV ,1,0,0,0,12,6,"121,07 km","112,43 km",439,487,358,411,81,76,82%,84%,48%,52%,56%,44%,18,13,13,18,3,3,5,2
13-14,26,Hannover 96 ,Borussia Dortmund ,0,3,0,1,9,15,"120,42 km","123,2 km",529,484,425,394,104,90,80%,81%,53%,47%,50%,50%,12,16,16,10,2,4,5,3
13-14,26,VfL Wolfsburg ,FC Augsburg ,1,1,0,1,10,12,"116,19 km","116,31 km",455,329,374,245,81,84,82%,74%,58%,42%,52%,48%,23,11,10,22,0,4,6,3
13-14,26,1. FSV Mainz 05 ,Bayern München ,0,2,0,0,4,23,"120,21 km","115,17 km",224,825,142,737,82,88,63%,89%,22%,78%,45%,55%,13,11,11,13,8,1,2,9
13-14,26,Bor. Mönchengladbach ,Hertha BSC ,3,0,3,0,8,8,"114,21 km",116 km,714,508,632,421,82,87,89%,83%,58%,42%,54%,46%,7,12,12,7,1,1,4,5
13-14,26,1. FC Nürnberg ,Eintracht Frankfurt ,2,5,0,1,13,23,"115,44 km","114,05 km",389,391,272,265,117,126,70%,68%,51%,49%,49%,51%,19,15,15,19,1,2,2,5
13-14,26,Bayer 04 Leverkusen ,TSG Hoffenheim ,2,3,1,2,12,12,"118,91 km","121,08 km",589,324,488,234,101,90,83%,72%,64%,36%,51%,49%,15,18,18,14,3,1,6,2
13-14,27,Borussia Dortmund ,FC Schalke 04 ,0,0,0,0,18,8,"119,84 km","118,14 km",460,337,332,213,128,124,72%,63%,58%,42%,53%,47%,17,24,23,16,2,2,4,2
13-14,27,Werder Bremen ,VfL Wolfsburg ,1,3,1,2,6,19,"118,33 km","115,26 km",314,503,199,395,115,108,63%,79%,39%,61%,44%,56%,18,19,18,18,2,3,3,8
13-14,27,Eintracht Braunschweig ,1. FSV Mainz 05 ,3,1,2,1,14,12,"120,95 km","119,56 km",303,469,174,333,129,136,57%,71%,40%,60%,51%,49%,16,25,23,14,3,0,6,7
13-14,27,Hertha BSC ,Bayern München ,1,3,0,2,4,13,"117,74 km","112,16 km",210,1078,142,1004,68,74,68%,93%,18%,82%,41%,59%,13,8,7,13,3,2,2,3
