,Date,Open,High,Low,Close,Adj Close,Volumn
807,2017-07-14,213.00,214.50,212.00,213.00,183.23,"22,335,000"
806,2017-07-17,215.00,215.50,211.50,213.00,183.23,"21,372,000"
805,2017-07-18,213.00,214.00,212.00,214.00,184.09,"18,613,000"
804,2017-07-19,212.50,215.00,212.50,214.50,184.52,"20,637,000"
803,2017-07-20,215.00,215.50,214.00,215.50,185.38,"20,770,000"
802,2017-07-21,214.00,215.00,213.50,214.00,184.09,"15,032,000"
801,2017-07-24,213.50,214.50,213.00,214.50,184.52,"19,972,000"
800,2017-07-25,214.00,214.50,213.50,214.00,184.09,"13,344,000"
799,2017-07-26,215.00,215.00,212.50,213.00,183.23,"14,684,000"
798,2017-07-27,213.50,216.00,213.50,215.50,185.38,"23,013,000"
797,2017-07-28,213.00,214.00,212.50,213.00,183.23,"19,724,000"
796,2017-07-31,211.50,214.50,211.50,214.50,184.52,"19,993,000"
795,2017-08-01,212.50,214.00,212.00,212.00,182.37,"19,704,000"
794,2017-08-02,214.00,216.00,214.00,216.00,185.82,"27,320,000"
793,2017-08-03,213.00,214.00,212.50,213.50,183.66,"25,694,000"
792,2017-08-04,213.50,214.00,212.50,213.00,183.23,"21,831,000"
791,2017-08-07,213.50,216.50,213.50,216.00,185.82,"21,564,000"
790,2017-08-08,217.50,219.00,216.00,217.50,187.11,"25,122,000"
789,2017-08-09,215.00,215.50,213.50,214.50,184.52,"28,050,000"
788,2017-08-10,215.50,215.50,212.50,214.00,184.09,"26,273,000"
787,2017-08-11,211.00,213.50,210.50,212.50,182.80,"41,417,000"
786,2017-08-14,213.50,214.00,210.00,211.00,181.51,"29,299,000"
785,2017-08-15,213.00,214.50,213.00,214.00,184.09,"13,512,000"
784,2017-08-16,214.50,214.50,211.00,213.00,183.23,"25,176,000"
783,2017-08-17,213.50,214.00,213.00,214.00,184.09,"8,334,000"
782,2017-08-18,212.00,213.00,211.00,212.50,182.80,"13,711,000"
781,2017-08-21,212.50,213.00,211.50,211.50,181.94,"11,882,499"
780,2017-08-22,213.50,214.50,213.00,214.50,184.52,"14,211,415"
779,2017-08-23,215.50,216.00,214.00,215.50,185.38,"11,589,917"
778,2017-08-24,216.00,217.00,215.50,217.00,186.68,"15,224,842"
777,2017-08-25,217.50,217.50,216.00,217.50,187.11,"10,125,387"
776,2017-08-28,215.00,216.50,215.00,216.00,185.82,"15,236,159"
775,2017-08-29,216.00,216.00,215.00,216.00,185.82,"16,160,161"
774,2017-08-30,216.00,218.00,216.00,217.50,187.11,"19,674,310"
773,2017-08-31,217.50,218.00,215.50,216.50,186.25,"26,434,202"
772,2017-09-01,215.00,217.50,215.00,216.50,186.25,"17,805,405"
771,2017-09-04,216.50,218.00,215.50,217.50,187.11,"15,023,185"
770,2017-09-05,218.00,218.00,216.50,218.00,187.54,"17,357,347"
769,2017-09-06,216.50,218.00,216.00,217.00,186.68,"16,012,662"
768,2017-09-07,218.00,218.50,216.00,217.00,186.68,"19,135,540"
767,2017-09-08,217.00,218.00,216.50,218.00,187.54,"25,512,045"
766,2017-09-11,219.00,219.50,216.50,217.00,186.68,"19,026,886"
765,2017-09-12,219.00,219.50,217.50,219.00,188.40,"21,588,321"
764,2017-09-13,217.50,219.00,217.50,218.00,187.54,"17,555,541"
763,2017-09-14,218.50,219.00,217.50,218.50,187.97,"18,315,567"
762,2017-09-15,218.50,219.00,217.00,218.50,187.97,"44,551,103"
761,2017-09-18,219.00,220.00,218.00,219.50,188.83,"17,654,705"
760,2017-09-19,221.50,221.50,220.00,221.50,190.55,"23,410,233"
759,2017-09-20,221.00,222.00,220.00,221.50,190.55,"20,320,237"
758,2017-09-21,221.00,223.00,220.00,221.00,190.12,"18,645,565"
757,2017-09-22,221.50,222.00,218.50,218.50,187.97,"21,557,370"
756,2017-09-25,217.50,218.50,217.00,217.00,186.68,"16,876,286"
755,2017-09-26,217.50,218.00,214.00,214.00,184.09,"23,070,901"
754,2017-09-27,217.50,217.50,215.00,215.00,184.95,"22,590,510"
